Algorithm,Run,Time (ms),R,Latitude,Longitude,ax,ay,az
Belikov,1,14.0134,6.20221e+06,32.5998,154.512,7.87377,-3.75333,-5.59758
Cunningham,1,13.0995,6.20221e+06,32.5998,154.512,7.87377,-3.75324,-5.59758
Stokes_1thread,1,13.2021,6.20221e+06,32.5998,154.512,7.87377,-3.75333,-5.59758
Stokes_multithread,1,14.0759,6.20221e+06,32.5998,154.512,7.87377,-3.75333,-5.59758
Belikov,2,13.1793,6.3554e+06,-54.9391,-178.247,5.64419,0.172779,8.07313
Cunningham,2,13.5783,6.3554e+06,-54.9391,-178.247,5.64419,0.172885,8.07313
Stokes_1thread,2,13.6508,6.3554e+06,-54.9391,-178.247,5.64419,0.172779,8.07313
Stokes_multithread,2,13.4477,6.3554e+06,-54.9391,-178.247,5.64419,0.172779,8.07313
Belikov,3,13.2427,6.44019e+06,-64.0467,145.885,3.46514,-2.34733,8.62664
Cunningham,3,13.6135,6.44019e+06,-64.0467,145.885,3.46514,-2.34729,8.62664
Stokes_1thread,3,13.4573,6.44019e+06,-64.0467,145.885,3.46514,-2.34733,8.62664
Stokes_multithread,3,13.3649,6.44019e+06,-64.0467,145.885,3.46514,-2.34733,8.62664
Belikov,4,13.324,6.24769e+06,23.4057,58.6112,-4.88257,-8.00287,-4.07151
Cunningham,4,13.3989,6.24769e+06,23.4057,58.6112,-4.88257,-8.00283,-4.07151
Stokes_1thread,4,13.386,6.24769e+06,23.4057,58.6112,-4.88257,-8.00287,-4.07151
Stokes_multithread,4,13.4769,6.24769e+06,23.4057,58.6112,-4.88257,-8.00287,-4.07151
Belikov,5,13.3198,6.86822e+06,-89.7199,-87.8631,-0.00137567,0.0410949,8.42604
Cunningham,5,13.2967,6.86822e+06,-89.7199,-87.8631,-0.00137567,0.0409401,8.42604
Stokes_1thread,5,13.3333,6.86822e+06,-89.7199,-87.8631,-0.00137567,0.0410949,8.42604
Stokes_multithread,5,13.5563,6.86822e+06,-89.7199,-87.8631,-0.00137567,0.0410949,8.42604
Belikov,6,13.2372,6.94194e+06,76.0924,70.1808,-0.670586,-1.86095,-8.01007
Cunningham,6,13.587,6.94194e+06,76.0924,70.1808,-0.670586,-1.86095,-8.01007
Stokes_1thread,6,13.3077,6.94194e+06,76.0924,70.1808,-0.670586,-1.86095,-8.01007
Stokes_multithread,6,13.4411,6.94194e+06,76.0924,70.1808,-0.670586,-1.86095,-8.01007
Belikov,7,13.2987,6.58767e+06,-68.683,-12.819,-3.23919,0.737079,8.53912
Cunningham,7,13.338,6.58767e+06,-68.683,-12.819,-3.23919,0.737097,8.53912
Stokes_1thread,7,13.3235,6.58767e+06,-68.683,-12.819,-3.23919,0.737079,8.53912
Stokes_multithread,7,13.384,6.58767e+06,-68.683,-12.819,-3.23919,0.737079,8.53912
Belikov,8,13.3332,6.41412e+06,-64.07,170.476,4.15755,-0.69743,8.69843
Cunningham,8,13.3292,6.41412e+06,-64.07,170.476,4.15755,-0.697408,8.69843
Stokes_1thread,8,13.3006,6.41412e+06,-64.07,170.476,4.15755,-0.69743,8.69843
Stokes_multithread,8,13.5412,6.41412e+06,-64.07,170.476,4.15755,-0.69743,8.69843
Belikov,9,13.3166,6.55509e+06,-67.991,-53.1221,-2.07559,2.76673,8.58336
Cunningham,9,13.1485,6.55509e+06,-67.991,-53.1221,-2.07559,2.76674,8.58336
Stokes_1thread,9,13.326,6.55509e+06,-67.991,-53.1221,-2.07559,2.76673,8.58336
Stokes_multithread,9,13.43,6.55509e+06,-67.991,-53.1221,-2.07559,2.76673,8.58336
Belikov,10,13.3732,6.95987e+06,36.8776,-58.6832,-3.41742,5.61725,-4.94607
Cunningham,10,13.3416,6.95987e+06,36.8776,-58.6832,-3.41742,5.61728,-4.94607
Stokes_1thread,10,13.4104,6.95987e+06,36.8776,-58.6832,-3.41742,5.61725,-4.94607
Stokes_multithread,10,13.3562,6.95987e+06,36.8776,-58.6832,-3.41742,5.61725,-4.94607
Belikov,11,13.3625,6.81532e+06,55.5877,147.042,4.05546,-2.6294,-7.07573
Cunningham,11,13.3069,6.81532e+06,55.5877,147.042,4.05546,-2.62942,-7.07573
Stokes_1thread,11,13.3701,6.81532e+06,55.5877,147.042,4.05546,-2.6294,-7.07573
Stokes_multithread,11,13.7844,6.81532e+06,55.5877,147.042,4.05546,-2.6294,-7.07573
Belikov,12,13.3349,6.09117e+06,80.2117,74.5118,-0.484229,-1.74834,-10.5521
Cunningham,12,13.5195,6.09117e+06,80.2117,74.5118,-0.484229,-1.74841,-10.5521
Stokes_1thread,12,13.5326,6.09117e+06,80.2117,74.5118,-0.484229,-1.74834,-10.5521
Stokes_multithread,12,13.4102,6.09117e+06,80.2117,74.5118,-0.484229,-1.74834,-10.5521
Belikov,13,13.3837,6.60472e+06,-7.35976,-24.683,-8.24569,3.78972,1.17574
Cunningham,13,13.4084,6.60472e+06,-7.35976,-24.683,-8.24569,3.7897,1.17574
Stokes_1thread,13,13.4244,6.60472e+06,-7.35976,-24.683,-8.24569,3.78972,1.17574
Stokes_multithread,13,13.6553,6.60472e+06,-7.35976,-24.683,-8.24569,3.78972,1.17574
Belikov,14,14.5182,6.85084e+06,39.7548,62.3282,-3.02759,-5.77385,-5.43839
Cunningham,14,13.4213,6.85084e+06,39.7548,62.3282,-3.02759,-5.7738,-5.43839
Stokes_1thread,14,13.4125,6.85084e+06,39.7548,62.3282,-3.02759,-5.77385,-5.43839
Stokes_multithread,14,13.7178,6.85084e+06,39.7548,62.3282,-3.02759,-5.77385,-5.43839
Belikov,15,13.2459,6.71889e+06,41.7967,-5.54,-6.54034,0.634333,-5.89165
Cunningham,15,13.3002,6.71889e+06,41.7967,-5.54,-6.54034,0.634351,-5.89165
Stokes_1thread,15,13.4195,6.71889e+06,41.7967,-5.54,-6.54034,0.634333,-5.89165
Stokes_multithread,15,13.7823,6.71889e+06,41.7967,-5.54,-6.54034,0.634333,-5.89165
Belikov,16,13.3892,6.85691e+06,-52.1596,-133.228,3.55139,3.77816,6.69395
Cunningham,16,13.3438,6.85691e+06,-52.1596,-133.228,3.55139,3.77818,6.69395
Stokes_1thread,16,13.3807,6.85691e+06,-52.1596,-133.228,3.55139,3.77816,6.69395
Stokes_multithread,16,13.6815,6.85691e+06,-52.1596,-133.228,3.55139,3.77816,6.69395
Belikov,17,13.3203,6.65989e+06,36.1537,172.803,7.19099,-0.908076,-5.31164
Cunningham,17,13.3304,6.65989e+06,36.1537,172.803,7.19099,-0.908028,-5.31164
Stokes_1thread,17,13.2582,6.65989e+06,36.1537,172.803,7.19099,-0.908076,-5.31164
Stokes_multithread,17,13.5724,6.65989e+06,36.1537,172.803,7.19099,-0.908076,-5.31164
Belikov,18,13.2493,6.6413e+06,4.31694,-143.85,7.28714,5.32385,-0.683346
Cunningham,18,13.342,6.6413e+06,4.31694,-143.85,7.28714,5.32379,-0.683346
Stokes_1thread,18,13.1956,6.6413e+06,4.31694,-143.85,7.28714,5.32385,-0.683346
Stokes_multithread,18,14.2261,6.6413e+06,4.31694,-143.85,7.28714,5.32385,-0.683346
Belikov,19,13.4155,6.47794e+06,-89.4876,15.8554,-0.0809863,-0.0229769,9.46838
Cunningham,19,13.2906,6.47794e+06,-89.4876,15.8554,-0.0809863,-0.0231981,9.46838
Stokes_1thread,19,13.347,6.47794e+06,-89.4876,15.8554,-0.0809863,-0.0229769,9.46838
Stokes_multithread,19,13.7524,6.47794e+06,-89.4876,15.8554,-0.0809863,-0.0229769,9.46838
Belikov,20,13.4403,6.77458e+06,85.2011,-161.712,0.686053,0.2267,-8.63024
Cunningham,20,13.3965,6.77458e+06,85.2011,-161.712,0.686053,0.226618,-8.63024
Stokes_1thread,20,13.3429,6.77458e+06,85.2011,-161.712,0.686053,0.2267,-8.63024
Stokes_multithread,20,13.4351,6.77458e+06,85.2011,-161.712,0.686053,0.2267,-8.63024
Belikov,21,13.425,6.21718e+06,-53.5225,-155.953,5.57703,2.48849,8.28864
Cunningham,21,13.37,6.21718e+06,-53.5225,-155.953,5.57703,2.48856,8.28864
Stokes_1thread,21,13.7693,6.21718e+06,-53.5225,-155.953,5.57703,2.48849,8.28864
Stokes_multithread,21,13.4208,6.21718e+06,-53.5225,-155.953,5.57703,2.48849,8.28864
Belikov,22,13.4013,6.59023e+06,-30.4033,41.4911,-5.92686,-5.24207,4.65679
Cunningham,22,13.438,6.59023e+06,-30.4033,41.4911,-5.92686,-5.24201,4.65679
Stokes_1thread,22,13.4138,6.59023e+06,-30.4033,41.4911,-5.92686,-5.24207,4.65679
Stokes_multithread,22,13.4583,6.59023e+06,-30.4033,41.4911,-5.92686,-5.24207,4.65679
Belikov,23,13.4329,6.20662e+06,-70.237,10.9336,-3.41508,-0.659607,9.71411
Cunningham,23,13.3433,6.20662e+06,-70.237,10.9336,-3.41508,-0.659619,9.71411
Stokes_1thread,23,13.4182,6.20662e+06,-70.237,10.9336,-3.41508,-0.659607,9.71411
Stokes_multithread,23,13.9397,6.20662e+06,-70.237,10.9336,-3.41508,-0.659607,9.71411
Belikov,24,13.3695,6.23981e+06,40.709,-138.876,5.83449,5.09421,-6.68666
Cunningham,24,13.3989,6.23981e+06,40.709,-138.876,5.83449,5.09424,-6.68666
Stokes_1thread,24,13.4188,6.23981e+06,40.709,-138.876,5.83449,5.09421,-6.68666
Stokes_multithread,24,13.456,6.23981e+06,40.709,-138.876,5.83449,5.09421,-6.68666
Belikov,25,13.3449,6.56951e+06,-39.3608,171.817,7.05705,-1.01487,5.86641
Cunningham,25,13.2766,6.56951e+06,-39.3608,171.817,7.05705,-1.01478,5.86641
Stokes_1thread,25,13.4046,6.56951e+06,-39.3608,171.817,7.05705,-1.01487,5.86641
Stokes_multithread,25,13.5464,6.56951e+06,-39.3608,171.817,7.05705,-1.01487,5.86641
Belikov,26,13.5738,6.20666e+06,-38.3448,163.308,7.76075,-2.32734,6.4314
Cunningham,26,13.4769,6.20666e+06,-38.3448,163.308,7.76075,-2.32723,6.4314
Stokes_1thread,26,13.2228,6.20666e+06,-38.3448,163.308,7.76075,-2.32734,6.4314
Stokes_multithread,26,13.5532,6.20666e+06,-38.3448,163.308,7.76075,-2.32734,6.4314
Belikov,27,13.3678,6.43256e+06,34.1273,-27.3684,-7.07541,3.66268,-5.41684
Cunningham,27,13.4088,6.43256e+06,34.1273,-27.3684,-7.07541,3.66273,-5.41684
Stokes_1thread,27,13.3743,6.43256e+06,34.1273,-27.3684,-7.07541,3.66268,-5.41684
Stokes_multithread,27,13.5001,6.43256e+06,34.1273,-27.3684,-7.07541,3.66268,-5.41684
Belikov,28,13.3398,6.64941e+06,-49.0153,-114.183,2.41546,5.37877,6.80684
Cunningham,28,13.3397,6.64941e+06,-49.0153,-114.183,2.41546,5.37876,6.80684
Stokes_1thread,28,13.4758,6.64941e+06,-49.0153,-114.183,2.41546,5.37877,6.80684
Stokes_multithread,28,13.6833,6.64941e+06,-49.0153,-114.183,2.41546,5.37877,6.80684
Belikov,29,13.4653,6.4713e+06,-22.133,64.3898,-3.81276,-7.95443,3.59885
Cunningham,29,13.3066,6.4713e+06,-22.133,64.3898,-3.81276,-7.95437,3.59885
Stokes_1thread,29,13.4735,6.4713e+06,-22.133,64.3898,-3.81276,-7.95443,3.59885
Stokes_multithread,29,13.5695,6.4713e+06,-22.133,64.3898,-3.81276,-7.95443,3.59885
Belikov,30,13.4696,6.63834e+06,33.5819,11.057,-7.38989,-1.44413,-5.01421
Cunningham,30,13.4572,6.63834e+06,33.5819,11.057,-7.38989,-1.44409,-5.01421
Stokes_1thread,30,13.461,6.63834e+06,33.5819,11.057,-7.38989,-1.44413,-5.01421
Stokes_multithread,30,13.6563,6.63834e+06,33.5819,11.057,-7.38989,-1.44413,-5.01421
Belikov,31,13.7465,6.48766e+06,-35.9825,-110.601,2.69331,7.16498,5.57527
Cunningham,31,13.2572,6.48766e+06,-35.9825,-110.601,2.69331,7.16503,5.57527
Stokes_1thread,31,13.4141,6.48766e+06,-35.9825,-110.601,2.69331,7.16498,5.57527
Stokes_multithread,31,13.6543,6.48766e+06,-35.9825,-110.601,2.69331,7.16498,5.57527
Belikov,32,13.3323,6.41328e+06,-64.6889,-86.6984,-0.237288,4.11594,8.74561
