Algorithm,Run,Time (ms),R,Latitude,Longitude,ax,ay,az
Belikov,1,35.5796,6.37e+06,0,0,-9.8394,-7.6482e-06,-9.58747e-05
Cunningham,1,29.0016,6.37e+06,0,0,-9.8394,-4.70916e-05,-9.58747e-05
Stokes_1thread,1,29.0463,6.37e+06,0,0,-9.8394,-7.6482e-06,-9.58747e-05
Stokes_multithread,1,29.2693,6.37e+06,0,0,-9.8394,-7.6482e-06,-9.58747e-05
Belikov,2,29.0355,6.37e+06,-6.07423e-05,2.73453e-05,-9.8394,-1.23431e-05,-8.54132e-05
Cunningham,2,29.7803,6.37e+06,-6.07423e-05,2.73453e-05,-9.8394,-5.17849e-05,-8.54132e-05
Stokes_1thread,2,28.8983,6.37e+06,-6.07423e-05,2.73453e-05,-9.8394,-1.23431e-05,-8.54132e-05
Stokes_multithread,2,29.8222,6.37e+06,-6.07423e-05,2.73453e-05,-9.8394,-1.23431e-05,-8.54132e-05
Belikov,3,28.6412,6.36999e+06,-0.000121485,5.46905e-05,-9.83941,-1.70379e-05,-7.49516e-05
Cunningham,3,28.4476,6.36999e+06,-0.000121485,5.46905e-05,-9.83941,-5.64782e-05,-7.49516e-05
Stokes_1thread,3,28.5377,6.36999e+06,-0.000121485,5.46905e-05,-9.83941,-1.70379e-05,-7.49516e-05
Stokes_multithread,3,30.8499,6.36999e+06,-0.000121485,5.46905e-05,-9.83941,-1.70379e-05,-7.49516e-05
Belikov,4,29.605,6.36999e+06,-0.000182227,8.20359e-05,-9.83942,-2.17328e-05,-6.44901e-05
Cunningham,4,29.2363,6.36999e+06,-0.000182227,8.20359e-05,-9.83942,-6.11715e-05,-6.44901e-05
Stokes_1thread,4,29.3824,6.36999e+06,-0.000182227,8.20359e-05,-9.83942,-2.17328e-05,-6.44901e-05
Stokes_multithread,4,32.5447,6.36999e+06,-0.000182227,8.20359e-05,-9.83942,-2.17328e-05,-6.44901e-05
Belikov,5,29.4826,6.36999e+06,-0.00024297,0.000109381,-9.83943,-2.64277e-05,-5.40285e-05
Cunningham,5,28.9678,6.36999e+06,-0.00024297,0.000109381,-9.83943,-6.58648e-05,-5.40285e-05
Stokes_1thread,5,28.9728,6.36999e+06,-0.00024297,0.000109381,-9.83943,-2.64277e-05,-5.40285e-05
Stokes_multithread,5,29.2218,6.36999e+06,-0.00024297,0.000109381,-9.83943,-2.64277e-05,-5.40285e-05

Total time (ms):
Belikov,152.344
Cunningham,145.434
Stokes_1thread,144.838
Stokes_multithread,151.708
Speedup,0.954713
Efficiency,0.238678

Final coordinates (R, LAT, LON):
Belikov,6.36999e+06,-0.000303712,0.000136727
Cunningham,6.36999e+06,-0.000303712,0.000136727
Stokes_1thread,6.36999e+06,-0.000303712,0.000136727
Stokes_multithread,6.36999e+06,-0.000303712,0.000136727
